scenarioId,scenarioName,roadId,routeLabel,scenarioStart,scenarioEnd,isBlockedOverride,conditionWeightMultiplier,travelTimeMultiplier,reason,dataNote
1,ACCESS_BLOCKAGE_DRILL,6,University of Ghana Fire Station - Bush Canteen,2026-08-07T16:00:00Z,2026-08-07T18:00:00Z,True,1.0,1.0,Temporary access closure used to test rerouting while keeping the overall graph connected,Synthetic what-if scenario for testing; baseline roads.csv remains unblocked
2,ACCESS_BLOCKAGE_DRILL,2,Main University Gate - University of Ghana Hospital,2026-08-07T16:10:00Z,2026-08-07T18:10:00Z,True,1.0,1.0,Temporary access closure used to test rerouting while keeping the overall graph connected,Synthetic what-if scenario for testing; baseline roads.csv remains unblocked
3,ACCESS_BLOCKAGE_DRILL,36,Jubilee Hall - Banking Square,2026-08-07T16:20:00Z,2026-08-07T18:20:00Z,True,1.0,1.0,Temporary access closure used to test rerouting while keeping the overall graph connected,Synthetic what-if scenario for testing; baseline roads.csv remains unblocked
4,ACCESS_BLOCKAGE_DRILL,37,Jubilee Hall - Night Market,2026-08-07T16:30:00Z,2026-08-07T18:30:00Z,True,1.0,1.0,Temporary access closure used to test rerouting while keeping the overall graph connected,Synthetic what-if scenario for testing; baseline roads.csv remains unblocked
5,EVENT_CROWD,1,Main University Gate - Legon Police Station,2026-08-08T17:00:00Z,2026-08-08T20:00:00Z,False,1.05,1.5,Synthetic crowd/event congestion used to test time-sensitive routing,Synthetic what-if scenario for testing; baseline roads.csv remains unblocked
6,EVENT_CROWD,3,Main University Gate - University of Ghana Fire Station,2026-08-08T17:00:00Z,2026-08-08T20:00:00Z,False,1.05,1.6,Synthetic crowd/event congestion used to test time-sensitive routing,Synthetic what-if scenario for testing; baseline roads.csv remains unblocked
7,EVENT_CROWD,5,University of Ghana Hospital - Bush Canteen,2026-08-08T17:00:00Z,2026-08-08T20:00:00Z,False,1.05,1.7,Synthetic crowd/event congestion used to test time-sensitive routing,Synthetic what-if scenario for testing; baseline roads.csv remains unblocked
8,EVENT_CROWD,7,Bush Canteen - University Basic School,2026-08-08T17:00:00Z,2026-08-08T20:00:00Z,False,1.05,1.8,Synthetic crowd/event congestion used to test time-sensitive routing,Synthetic what-if scenario for testing; baseline roads.csv remains unblocked
9,RAINY_EVENING,4,University of Ghana Hospital - University of Ghana Fire Station,2026-08-09T17:00:00Z,2026-08-09T21:00:00Z,False,1.2,1.15,Synthetic wet-road condition used to test road-condition penalties,Synthetic what-if scenario for testing; baseline roads.csv remains unblocked
10,RAINY_EVENING,30,Volta Hall - VALCO Trust Hostel,2026-08-09T17:00:00Z,2026-08-09T21:00:00Z,False,1.28,1.2,Synthetic wet-road condition used to test road-condition penalties,Synthetic what-if scenario for testing; baseline roads.csv remains unblocked
11,RAINY_EVENING,55,Alexander Adum Kwapong Hall - Noguchi Memorial Institute for Medical Research,2026-08-09T17:00:00Z,2026-08-09T21:00:00Z,False,1.36,1.25,Synthetic wet-road condition used to test road-condition penalties,Synthetic what-if scenario for testing; baseline roads.csv remains unblocked
12,RAINY_EVENING,78,University of Ghana Sports Stadium - School of Pharmacy,2026-08-09T17:00:00Z,2026-08-09T21:00:00Z,False,1.44,1.3,Synthetic wet-road condition used to test road-condition penalties,Synthetic what-if scenario for testing; baseline roads.csv remains unblocked
