request_id,source_location_id,destination_location_id,category,urgency,time_submitted,deadline,status,requiredResourceType,peopleAffected,priorityScore,description,dataNote
1,1,13,THEFT_REPORT,2,2026-08-04T16:17:00Z,2026-08-04T19:46:00Z,IN_PROGRESS,INVESTIGATION_TEAM,1,42,Synthetic theft report request for project testing,Synthetic fictional request; not a report of a real incident
2,45,29,MEDICAL_EMERGENCY,5,2026-08-05T08:24:00Z,2026-08-05T08:33:00Z,COMPLETED,AMBULANCE,5,100,Synthetic medical emergency request for project testing,Synthetic fictional request; not a report of a real incident
3,4,30,WELFARE_CHECK,2,2026-08-02T11:17:00Z,2026-08-02T13:36:00Z,IN_PROGRESS,PATROL_OFFICER,1,42,Synthetic welfare check request for project testing,Synthetic fictional request; not a report of a real incident
4,4,15,NIGHT_PATROL_REQUEST,2,2026-08-04T12:18:00Z,2026-08-04T15:40:00Z,PENDING,MOTORCYCLE_PATROL,1,41,Synthetic night patrol request for project testing,Synthetic fictional request; not a report of a real incident
5,25,19,CROWD_CONTROL,4,2026-08-02T00:42:00Z,2026-08-02T01:21:00Z,IN_PROGRESS,CROWD_CONTROL_TEAM,39,73,Synthetic crowd control request for project testing,Synthetic fictional request; not a report of a real incident
6,1,12,WELFARE_CHECK,3,2026-08-06T23:34:00Z,2026-08-07T01:03:00Z,IN_PROGRESS,PATROL_OFFICER,1,61,Synthetic welfare check request for project testing,Synthetic fictional request; not a report of a real incident
7,44,26,SUSPICIOUS_ACTIVITY,5,2026-08-02T19:53:00Z,2026-08-02T20:08:00Z,COMPLETED,PATROL_OFFICER,1,97,Synthetic suspicious activity request for project testing,Synthetic fictional request; not a report of a real incident
8,30,36,ACCESS_CONTROL,2,2026-08-06T06:33:00Z,2026-08-06T11:50:00Z,COMPLETED,PATROL_OFFICER,1,40,Synthetic access control request for project testing,Synthetic fictional request; not a report of a real incident
9,1,10,ACCESS_CONTROL,2,2026-08-03T05:00:00Z,2026-08-03T10:13:00Z,COMPLETED,PATROL_OFFICER,1,37,Synthetic access control request for project testing,Synthetic fictional request; not a report of a real incident
10,1,11,NIGHT_PATROL_REQUEST,1,2026-08-05T02:07:00Z,2026-08-05T09:21:00Z,COMPLETED,MOTORCYCLE_PATROL,1,25,Synthetic night patrol request for project testing,Synthetic fictional request; not a report of a real incident
11,25,14,MEDICAL_EMERGENCY,5,2026-08-07T01:50:00Z,2026-08-07T02:03:00Z,COMPLETED,AMBULANCE,4,100,Synthetic medical emergency request for project testing,Synthetic fictional request; not a report of a real incident
12,45,23,ACCESS_CONTROL,2,2026-08-02T20:08:00Z,2026-08-03T00:07:00Z,PENDING,PATROL_OFFICER,1,36,Synthetic access control request for project testing,Synthetic fictional request; not a report of a real incident
13,30,37,SECURITY_ESCORT,3,2026-08-05T00:32:00Z,2026-08-05T01:19:00Z,IN_PROGRESS,PATROL_OFFICER,1,56,Synthetic security escort request for project testing,Synthetic fictional request; not a report of a real incident
14,30,21,WELFARE_CHECK,3,2026-08-03T05:12:00Z,2026-08-03T06:00:00Z,ASSIGNED,PATROL_OFFICER,1,58,Synthetic welfare check request for project testing,Synthetic fictional request; not a report of a real incident
15,3,29,ROAD_OBSTRUCTION,3,2026-08-05T18:18:00Z,2026-08-05T20:03:00Z,PENDING,PATROL_VEHICLE,1,58,Synthetic road obstruction request for project testing,Synthetic fictional request; not a report of a real incident
16,4,32,SECURITY_ESCORT,3,2026-08-02T23:08:00Z,2026-08-02T23:58:00Z,COMPLETED,PATROL_OFFICER,1,58,Synthetic security escort request for project testing,Synthetic fictional request; not a report of a real incident
17,1,24,SECURITY_ESCORT,3,2026-08-03T01:17:00Z,2026-08-03T02:11:00Z,PENDING,PATROL_OFFICER,1,59,Synthetic security escort request for project testing,Synthetic fictional request; not a report of a real incident
18,3,20,SECURITY_ESCORT,3,2026-08-04T17:47:00Z,2026-08-04T19:25:00Z,PENDING,PATROL_OFFICER,1,60,Synthetic security escort request for project testing,Synthetic fictional request; not a report of a real incident
19,4,41,ROAD_OBSTRUCTION,4,2026-08-07T03:39:00Z,2026-08-07T04:02:00Z,COMPLETED,PATROL_VEHICLE,1,75,Synthetic road obstruction request for project testing,Synthetic fictional request; not a report of a real incident
20,25,31,NIGHT_PATROL_REQUEST,2,2026-08-04T01:30:00Z,2026-08-04T03:39:00Z,PENDING,MOTORCYCLE_PATROL,1,37,Synthetic night patrol request for project testing,Synthetic fictional request; not a report of a real incident
21,4,39,SECURITY_ESCORT,3,2026-08-07T00:46:00Z,2026-08-07T02:35:00Z,PENDING,PATROL_OFFICER,1,60,Synthetic security escort request for project testing,Synthetic fictional request; not a report of a real incident
